,Location,Neighborhood,Address,URL,Yelp,Google,Chips,Latitude,Longitude,Fillings,Meat,Temp,overall,N,Tortilla,Synergy,Uniformity,Hunger,Meat:filling,Volume,Cost,Wrap,Salsa
18,Vallarta express,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4.0,False,32.8213695,-117.1825596,3.44444444444,3.27777777778,4.35714285714,3.5,9,2.91666666667,3.0,3.16666666667,3.5,3.61111111111,0.88,6.93333333333,3.61111111111,3.5
19,Mikes Taco Club,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,False,32.7476247,-117.252021,4.75,3.75,4.5,4.4,2,4.25,4.5,3.0,3.0,3.25,,8.59,4.5,4.0
20,La Perla Cocina,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,False,32.7981625,-117.2563715,3.5,2.75,4.25,3.25,2,4.0,2.25,2.5,3.25,2.25,,8.99,3.5,2.5
21,Rudy's Taco Shop,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4.0,4.3,False,32.9902701,-117.2605845,4.25,3.5,2.75,2.9,2,3.25,3.5,1.0,3.25,2.5,,6.6,2.75,3.0
22,California Burritos,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,True,32.7931775,-117.1559168,3.90476190476,3.97619047619,3.34761904762,4.16842105263,21,3.91904761905,4.0,3.85714285714,3.91952380952,3.9880952381,0.828125,6.31904761905,4.28571428571,3.55
23,Jorge's Mexicatessen,Encinitas ,267 N El Camino Real,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4.0,4.5,False,33.0530072,-117.2601426,3.5,3.25,3.25,3.4,2,2.25,4.0,4.25,3.25,3.0,0.77,5.725,4.5,3.75
24,Senor Grubby's,Carlsbad,377 Carlsbad Village Dr,eatgrubbys.com,4.0,4.1,False,33.1586119,-117.3498455,2.0,2.25,3.0,1.65,2,2.25,1.75,1.5,2.0,1.0,0.74,9.0,4.25,2.5
25,Mi Asador Mexican & Seafood ,Oceanside,4750 Oceanside Blvd,https://sites.google.com/site/miasador/,4.5,4.4,True,33.2160515,-117.2718188,3.0,2.75,2.75,3.25,2,3.5,3.5,2.5,3.0,2.75,0.945,6.64,3.75,3.5
26,Sotos Mexican Food,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,4.5,4.6,True,32.8791598,-117.167373,4.0,2.75,3.0,3.35,2,4.25,3.75,3.0,2.5,2.5,0.88,6.37,4.75,4.0
27,Karina's Taco Shop ,Encinitas ,916 N Coast Hwy 101,https://www.yelp.com/biz/karinas-taco-shop-encinitas,4.0,4.2,False,33.0647964,-117.3026313,3.5,3.75,4.0,3.75,2,3.75,3.75,2.25,2.75,2.75,0.955,7.49,3.5,4.0
28,Juanita's Taco Shop,Encinitas ,290 N Coast Hwy 101,https://www.yelp.com/biz/juanitas-taco-shop-encinitas,4.0,4.5,False,33.0543146,-117.2967255,3.5,3.25,4.25,3.7,2,4.25,3.5,3.5,3.0,4.25,0.785,5.55,5.0,3.5
29,Goody's,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,False,32.8753618,-117.2358622,2.0,2.0,1.0,1.8,1,1.5,2.0,2.0,3.5,2.0,0.75,7.25,1.0,2.0
30,Taco Surf PB,Pacific Beach,4657 Mission Blvd,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4.0,4.6,False,32.7988885,-117.2559985,4.13333333333,3.93333333333,2.0,4.06666666667,3,4.16666666667,4.06666666667,2.83333333333,3.9,4.0,0.81,6.76666666667,4.66666666667,3.6
31,Roberto's Very Mexican Food,Del Mar,2206 Carmel Valley Road,https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,3.5,3.9,False,32.9342388,-117.2551569,2.25,3.0,3.75,2.1,2,1.75,2.5,1.25,2.5,4.0,0.625,5.95,5.0,1.25
32,Netos Mexican Food,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,4.5,4.1,True,33.142526,-117.201714,3.5,3.25,4.5,3.1,2,4.0,3.375,2.75,3.5,2.75,0.905,5.745,3.25,2.25
33,El Nopalito ,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,4.0,4.0,True,33.0362483,-117.2796852,2.2,2.0,3.5,2.6,2,3.25,2.75,4.75,2.25,3.25,0.74,4.87,3.25,3.0
34,Los tacos ,Oceanside,2183 Vista Way,https://www.yelp.com/biz/los-tacos-oceanside,4.0,4.2,False,33.1826363,-117.3409014,3.75,4.25,4.25,3.85,2,3.75,4.25,2.75,3.5,2.75,0.7,8.2,4.75,3.5
35,Albertacos,San Marcos,500 W San Marcos Blvd # 103,https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,False,33.1395167,-117.1721427,3.75,2.9,3.0,3.45,2,3.5,3.75,4.0,3.75,2.75,0.745,5.475,4.5,4.0
36,El Rey Moro,Clairemont,4471 Clairemont Mesa Blvd,https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4.0,3.8,False,32.8341884,-117.195824,3.5,4.0,4.5,4.0,1,3.5,3.5,4.5,2.8,5.0,0.9,9.19,5.0,3.0
37,Papa Chito's Mexican Food,University City,3951 Governor Dr,https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,2.5,3.3,False,32.853489,-117.203946,2.75,2.75,4.25,2.975,2,3.75,2.75,3.75,3.75,3.25,0.66,6.25,5.0,3.0
38,El Pueblo Mexican Food,Cardiff ,820 Birmingham Dr,https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4.0,4.7,False,33.0268719,-117.2735051,4.0,3.5,4.5,4.3,1,4.5,4.5,5.0,4.0,4.5,0.67,4.99,5.0,2.5
39,Burros and Fries,Clairemont,4705 Clairemont Dr,http://www.burrosandfries.com/,3.5,4.1,False,32.8297288,-117.2050566,4.0,4.0,4.75,3.75,2,3.25,3.75,2.75,4.5,3.0,0.76,6.89,4.75,3.5
40,King Burrito,Oceanside,3490 Marron Rd,https://www.yelp.com/biz/king-burrito-oceanside-2,4.0,3.9,False,33.1787882,-117.2948203,3.0,2.5,3.75,2.65,2,2.75,2.5,1.75,3.5,2.5,0.705,5.14,4.25,2.75
41,Carmen's Mexican Food,Clairemont,4937 Diane Ave,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4.0,4.2,False,32.8351403,-117.1868319,4.0,3.5,4.25,3.8,2,3.5,3.75,3.25,4.25,4.0,0.715,6.5,4.5,2.75
42,Senor Panchos,San Marcos,1909 W San Marcos Blvd,https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,4.0,4.2,False,33.1315065,-117.2095559,3.0,3.5,3.75,3.45,2,2.75,3.0,4.5,3.25,4.25,0.645,6.25,5.0,3.75
43,Los Cabos,San Marcos,165 S Rancho Santa Fe Rd,https://www.yelp.com/biz/los-cabos-san-marcos,4.0,4.1,True,33.1469075,-117.1998433,3.0,2.75,4.5,3.5,2,4.0,4.0,2.5,3.5,3.25,0.71,5.84,4.75,2.75
44,Rubios UCSD,UTC,9500 Gilman Dr,https://www.yelp.com/biz/rubios-la-jolla-4,3.5,3.4,True,32.8751853,-117.2356269,3.0,3.0,4.0,3.2,1,1.5,3.0,4.5,3.5,1.5,0.54,7.99,1.5,2.5
45,Lucha Libre North Park,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,True,32.7486959,-117.1297798,3.36428571429,3.612,3.2,3.26428571429,28,3.67857142857,3.31428571429,3.18571428571,3.48928571429,3.48,0.827083333333,7.5875,4.01428571429,3.92592592593
46,Roberto's Taco Shop Clairemont,Clairemont,3095 Clairemont Dr,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,4.0,4.0,False,32.7974048,-117.1927836,3.25,3.375,3.8,3.4,4,3.7,3.0,4.375,3.675,4.0,,6.14,4.875,3.0
47,Chipotle,Carlsbad,2505 Palomar airport Rd,https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,3.0,4.2,False,33.1280642,-117.270448,2.8,3.0,2.5,2.75,1,2.5,3.0,3.5,4.0,2.5,0.92,7.15,3.5,
48,El Cuervo,Hillcrest,110 Washington St,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4.0,4.3,False,32.7499672,-117.1636865,3.75,3.75,4.25,3.8,2,3.5,3.75,3.75,3.75,3.5,0.695,6.45,3.5,4.5
49,El Torrito Foods,Vista,249 Emerald Dr,https://www.yelp.com/biz/el-torito-foods-vista-2,4.0,4.4,False,33.1911439,-117.279026,2.75,3.0,4.5,2.85,2,3.25,2.75,4.0,4.25,2.65,0.68,4.74,5.0,3.0
50,La Morena Taco Shop and Seafood,Webster,5059 Federal Blvd,https://www.yelp.com/biz/la-morena-taco-shop-san-diego,4.5,4.7,False,32.7213409,-117.08656,3.0,4.0,2.5,3.0,1,4.0,3.0,2.0,4.0,4.5,,6.35,4.0,2.0
51,Taco Villa,UTC,9500 Gilman Dr,https://www.yelp.com/biz/taco-villa-san-diego,3.0,,False,32.8751853,-117.2356269,3.28,3.52222222222,4.13,3.48,10,3.37,3.29,3.45,3.3,3.768,0.6,5.97857142857,4.7,2.85
52,Valentines Mexican Food,Downtown,1157 Sixth Ave,https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4.0,4.0,True,32.7175038,-117.1591185,4.14285714286,4.1,4.31428571429,4.37142857143,7,4.07142857143,4.07142857143,3.92857142857,3.64285714286,4.42857142857,0.73,7.73571428571,3.07142857143,3.64285714286
53,Matador Mexican Food,Morena,5201 Linda Vista Rd,https://www.yelp.com/biz/matador-mexican-grill-san-diego-2,4.5,4.0,True,32.7653212,-117.1963386,3.35,3.25,3.6,3.0,2,2.7,3.2,2.7,3.6,4.4,,6.6,3.75,3.25
54,Jose's Taco,Oceanside,3910 Vista Way,https://www.yelp.com/biz/joses-taco-oceanside,4.0,3.8,False,33.1845077,-117.2935576,3.5,2.0,3.5,3.3,1,3.5,3.5,3.5,4.0,4.5,0.85,6.1,4.0,3.0
55,Cortez Mexican Food,Bonsall,5517 Mission Rd,https://www.yelp.com/biz/cortez-mexican-food-bonsall,4.2,4.0,False,33.290613,-117.226365,3.0,2.5,4.0,3.2,1,3.5,2.8,2.5,4.0,1.5,0.58,6.25,5.0,2.5
56,California Burrito Company,Miramar,6912 Miramar Rd,https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,False,32.8788184,-117.1668942,2.9,3.3,4.2,3.2,5,3.1,3.4,3.0,3.2,2.6,0.686,5.9,4.6,2.84
57,Taco Stand Encinitas,Encinitas ,642 S Coast Hwy 101,https://www.yelp.com/biz/the-taco-stand-encinitas,4.0,4.4,False,33.0441096,-117.2935813,4.25,4.1,3.65,4.2,2,2.9,4.2,3.1,3.0,3.875,0.74,7.49,3.0,4.625
58,Ortiz's Taco Shop #2,Pacific Beach,1313 Garnet Ave,https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,4.0,4.2,False,32.7983254,-117.2458029,3.25,3.8,4.13333333333,3.6525,4,2.75,3.675,4.3,4.375,4.5,0.7475,6.39,4.5,3.75
59,El Portal Fresh Mexican Grill,Clairemont,4101 Genesee Ave,https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4.0,4.4,True,32.8175549,-117.1806344,2.5,3.75,4.0,3.425,2,3.75,3.25,3.0,3.025,2.625,0.795,7.025,2.85,2.5
60,Famoso Mexican Street Food,Downtown,815 C St,https://www.yelp.com/biz/famoso-mexican-street-food-san-diego-20,4.5,3.9,False,32.7165302,-117.1571375,3.5,3.3,2.5,3.1,1,2.0,2.5,4.0,3.0,1.5,1.16,10.5,3.0,2.5
61,Los Panchos Taco Shop,Hillcrest,409 Washington St,https://www.yelp.com/biz/los-panchos-san-diego-2,3.0,3.4,True,32.7496768,-117.1612415,3.83333333333,4.16666666667,4.33333333333,3.93333333333,3,3.83333333333,4.0,3.33333333333,3.5,4.0,0.76,6.83333333333,3.83333333333,4.33333333333
62,El Pollo Loco,Oceanside,3500 College Blvd,https://www.yelp.com/biz/el-pollo-loco-oceanside-5,3.5,4.1,False,33.1815875,-117.2959886,2.5,3.8,3.0,3.2,1,2.0,3.0,3.0,3.5,2.5,0.61,5.99,2.6,2.5
63,Gloria's Taco Shop,South Park,1233 28th St,https://www.yelp.com/biz/glorias-taco-shop-san-diego,4.0,4.3,False,32.7186289,-117.1336277,2.5,2.0,3.25,2.35,2,4.25,2.25,3.75,3.0,3.35,0.695,5.57,3.75,3.0
64,Mr. Ruribertos Taco Shop ,Mission Beach,3202 Mission Blvd,https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,3.5,3.7,False,32.772199,-117.2514181,2.65,2.5,3.5,2.95,2,3.75,2.65,2.9,4.0,2.45,0.69,7.75,4.25,2.1
65,Mister Falafel,Clairemont,4461 Clairemont Mesa Blvd,https://www.yelp.com/biz/mister-falafel-san-diego,4.5,4.6,False,32.8342293,-117.1958213,3.0,4.0,4.0,3.5,1,3.6,3.8,4.3,3.7,3.8,0.65,6.99,2.0,
